"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$142,761,806,338","1.59%","35.18","4.49","3.29","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$138,552,268,665","1.05%","26.29","7.50","2.87","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$137,421,510,000","2.32%","12.57","3.50","10.52","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$137,131,553,000","0.00%","28.64","8.50","10.04","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$136,473,575,440","3.39%","9.41","1.14","1.43","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$134,864,209,536","5.66%","14.97","4.27","-13.35","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$131,965,551,680","2.12%","16.49","0.44","1.79","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$128,255,413,636","2.40%","18.39","5.66","10.53","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$125,879,631,688","2.46%","29.89","1.94","1.73","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$124,649,586,667","3.22%","21.86","4.74","136.55","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$123,207,918,902","3.27%","11.39","1.25","7.95","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$122,538,705,937","1.74%","14.67","1.28","-17.96","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$120,045,233,966","2.18%","22.82","3.50","6.52","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$116,133,208,847","0.66%","53.67","10.17","7.48","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$115,015,532,586","1.04%","0.00","0.00","0.00","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$114,721,700,000","8.15%","6.63","0.70","0.61","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$113,736,200,000","5.14%","4.61","1.46","1.10","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$113,349,134,302","5.15%","20.57","2.11","5.96","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$112,313,452,921","3.07%","23.00","3.53","2.15","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$112,010,171,162","1.37%","18.82","2.39","7.77","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$109,612,389,110","0.00%","32.32","5.81","1.98","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$109,058,313,388","1.30%","13.86","2.42","4.84","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$108,742,594,493","1.20%","19.03","2.47","5.68","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$107,903,925,000","1.00%","30.61","12.45","2.70","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$107,680,966,846","2.74%","17.18","1.64","10.67","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$107,482,741,679","2.68%","5.78","2.01","0.92","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$107,309,396,348","0.00%","30.30","4.16","5.27","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$106,357,730,226","0.00%","20.89","3.50","5.96","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$102,466,366,713","1.91%","37.85","10.39","18.59","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$101,556,374,000","2.19%","23.46","3.24","-11.79","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$98,266,315,429","1.75%","34.69","6.23","23.68","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$94,828,319,357","2.50%","14.50","1.80","5.52","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$89,405,149,510","1.48%","16.65","0.51","1.95","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$89,149,555,371","3.16%","14.32","4.53","2.35","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$86,009,274,357","4.53%","4.94","1.20","0.43","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$83,133,100,000","0.00%","380.38","13.29","21.26","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$81,857,424,502","4.36%","18.17","2.98","4.12","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$81,605,650,464","1.28%","40.56","4.68","5.43","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$80,504,557,035","1.68%","9.69","1.98","1.40","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$79,658,727,136","1.38%","24.74","3.93","7.31","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$79,279,729,173","0.00%","-16.06","1.30","-5.09","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$79,271,422,759","0.00%","10.07","4.80","4.01","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$78,848,668,481","2.47%","18.71","2.70","2.79","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$78,472,521,134","2.80%","21.00","16.25","2.28","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$77,588,419,951","1.96%","47.57","7.95","2.11","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$77,101,978,668","0.00%","31.60","9.70","7.10","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$76,920,261,398","1.38%","11.36","3.10","6.63","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$76,534,993,778","8.31%","25.69","3.64","-43.90","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$75,956,084,709","1.69%","24.77","1.45","12.73","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$75,851,855,674","1.34%","13.00","2.15","5.64","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$75,143,563,311","3.74%","31.90","3.15","2.24","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$74,772,734,812","4.02%","19.62","2.87","1.46","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$74,061,196,509","0.47%","-14.86","1.00","1.90","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$73,355,192,819","2.05%","16.88","3.28","3.43","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$72,494,390,508","1.53%","33.16","1.51","4.20","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$72,444,443,398","0.79%","34.91","9.18","15.54","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$72,242,822,405","2.37%","12.29","0.68","6.68","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$71,972,189,636","0.00%","35.29","12.19","5.94","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$69,844,878,482","0.00%","131.85","5.58","15.68","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$69,514,800,549","1.49%","36.10","3.76","9.64","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$67,582,685,691","1.44%","36.91","3.37","2.75","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$65,882,320,003","3.38%","12.99","3.35","1.33","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$65,857,606,155","5.07%","11.72","1.86","4.39","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$65,463,586,383","2.13%","23.62","13.69","2.34","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$65,111,783,735","3.86%","43.27","9.87","7.86","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$63,755,221,978","0.61%","21.05","0.74","4.17","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$63,338,973,114","4.30%","9.09","2.77","1.22","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$63,146,162,678","0.00%","37.85","3.80","2.06","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$62,155,163,301","2.14%","18.96","1.62","3.45","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$62,013,927,279","0.60%","9.70","2.14","2.55","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$61,756,877,961","4.15%","10.09","2.79","0.94","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$60,211,700,744","1.39%","15.14","4.59","4.52","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$59,970,354,366","0.75%","43.70","4.86","50.68","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$59,923,193,156","2.54%","29.02","3.43","184.78","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$59,828,202,830","2.55%","22.23","4.03","16.67","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$59,525,710,028","0.58%","6.69","1.91","1.26","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$59,523,949,986","3.64%","19.33","4.14","1.97","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$58,895,236,539","8.16%","14.49","2.81","2.57","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$58,672,994,400","0.63%","23.43","7.07","3.25","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$58,655,306,295","0.00%","78.41","4.82","3.53","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$58,524,356,720","1.06%","8.54","0.98","-28.60","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$57,148,084,000","2.21%","25.95","2.89","3.46","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$56,893,271,964","1.07%","30.86","2.80","25.22","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$55,598,919,764","0.84%","22.82","1.63","8.74","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$55,330,868,888","1.53%","28.11","2.34","3.83","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$54,997,275,577","2.54%","24.10","4.83","3.86","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$54,820,016,953","1.55%","12.05","3.28","9.08","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$54,046,636,668","0.00%","35.23","10.09","9.27","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$53,711,783,205","2.13%","4.96","0.40","2.24","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$53,536,725,999","2.06%","107.23","7.90","4.81","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$53,232,459,916","2.96%","7.96","0.81","0.98","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$52,781,510,251","0.00%","10.48","1.01","4.39","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$52,762,777,590","2.03%","22.04","4.10","2.08","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$52,621,204,638","1.05%","15.61","2.91","8.52","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$52,584,426,466","1.55%","12.82","5.72","2.30","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$52,416,752,694","2.14%","17.10","4.59","3.86","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$52,198,152,696","0.25%","5.74","0.40","0.82","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$52,132,094,586","2.59%","27.52","14.39","5.32","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$51,076,054,489","0.55%","45.72","0.19","-22.42","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$49,986,438,501","0.00%","3.41","2.21","2.93","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$49,544,737,476","2.85%","48.65","3.69","8.35","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$49,191,579,365","0.00%","48.72","10.34","8.83","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$48,814,404,063","3.60%","4.27","0.36","1.10","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$48,358,614,344","2.25%","53.18","3.42","1.03","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$48,289,055,617","0.00%","35.80","8.30","7.07","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$48,073,330,000","1.03%","24.32","7.83","20.07","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$48,040,126,463","1.82%","15.73","0.53","2.04","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$47,890,798,386","0.41%","32.12","3.04","26.96","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$46,922,147,100","0.00%","62.46","14.88","16.84","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$46,592,548,525","2.61%","20.04","2.50","4.58","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$46,575,122,989","3.40%","17.15","2.72","817.69","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$46,412,280,099","1.35%","14.82","5.37","11.44","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$46,323,032,812","3.29%","18.34","0.35","2.47","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$46,269,225,000","2.61%","16.45","2.45","4.46","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$46,223,742,773","0.00%","9.26","0.35","1.70","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$46,203,991,585","0.00%","21.61","3.41","-141.21","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$45,227,036,000","4.69%","12.94","3.24","4.99","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$45,182,297,603","1.31%","88.08","5.12","3.24","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$45,026,815,199","1.31%","33.12","3.86","4.96","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$44,695,712,000","0.92%","25.84","2.78","1.73","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$43,992,940,265","0.97%","8.53","1.79","2.93","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$43,760,092,888","1.32%","38.91","3.34","6.09","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$43,467,777,125","4.12%","17.48","0.34","2.04","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$43,169,651,010","0.00%","88.83","9.84","52.00","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$42,970,740,423","0.00%","18.17","2.75","-13.95","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$42,886,069,547","1.94%","22.81","2.47","2.19","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$42,650,662,489","0.00%","61.67","5.45","19.77","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$42,595,643,607","1.11%","25.34","3.72","6.65","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$42,069,346,515","4.59%","33.90","1.64","0.84","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$41,986,869,528","1.92%","27.89","3.61","6.51","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$41,942,220,648","0.97%","34.82","5.51","12.76","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$41,586,625,580","2.49%","30.38","9.25","12.57","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$41,539,273,953","0.00%","66.23","11.58","194.11","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$41,406,173,303","2.37%","7.95","0.45","1.66","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$40,278,363,478","0.49%","13.98","6.61","2.98","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$39,810,524,719","6.06%","38.27","2.54","1.30","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$39,792,799,904","0.00%","175.36","7.59","6.65","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$39,385,057,621","1.34%","31.25","4.75","-125.40","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$39,321,118,755","2.45%","4.00","0.74","0.70","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$39,241,838,534","3.92%","22.07","1.98","54.87","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$39,228,702,164","3.18%","14.64","1.23","1.62","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$39,045,559,519","0.00%","214.02","25.66","107.06","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$38,810,484,420","0.00%","26.19","3.59","3.38","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$38,420,113,686","1.10%","54.27","4.87","6.23","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$38,331,875,796","2.38%","3.44","1.22","0.67","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$38,318,949,325","2.22%","9.71","1.09","1.49","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$37,958,275,725","1.90%","38.22","0.58","28.92","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$37,921,307,845","2.53%","9.28","1.78","1.28","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$37,910,512,877","1.78%","15.12","2.45","3.62","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$37,862,583,360","1.11%","39.68","4.47","4.25","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$37,421,060,047","5.39%","25.28","3.42","3.28","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$37,413,607,237","0.66%","32.59","5.81","7.62","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$36,885,791,404","2.57%","29.75","1.49","2.22","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$36,850,695,606","1.58%","28.96","5.40","6.32","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$36,760,122,131","0.00%","39.59","11.64","8.89","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$36,358,513,705","2.86%","21.79","2.67","2.24","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$36,295,555,528","0.97%","47.55","17.08","-40.97","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$36,258,329,903","4.81%","77.36","14.83","1.40","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$36,014,681,283","0.00%","33.27","2.57","6.07","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$35,897,957,042","2.50%","10.20","0.71","1.55","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$35,837,407,362","1.67%","24.59","2.48","5.94","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$35,713,164,163","0.00%","168.90","13.89","16.33","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$35,342,591,997","4.86%","33.03","2.86","1.62","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$35,057,280,000","4.95%","7.23","0.52","0.79","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$34,551,982,644","0.24%","47.31","5.21","-49.48","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$34,255,184,040","0.58%","43.23","4.90","4.47","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$33,789,049,748","1.78%","19.98","2.16","3.77","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$33,610,270,909","2.55%","19.74","5.65","1.86","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$33,491,785,904","0.74%","43.54","9.74","10.35","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$33,480,967,778","5.90%","4.80","0.57","1.75","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$33,431,230,336","3.32%","9.85","2.14","0.80","Analyze"
